OBJECTID;COD_PROG;INDIRIZZO;TIPO_MACRO;R10;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
158;A412;VIA PEDRONI LISIADE 28;PRODUTTIVO;SI;9;80;AFFORI;9.16924208665676;45.5111823968548;(45.5111823968548, 9.16924208665676)
159;A69;PLE ACCURSIO FRANCESCO 20;TERZIARIO;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.14543763457069;45.4936437249735;(45.4936437249735, 9.14543763457069)
160;A223;VIA CADOLINI GIOVANNI 26;PRODUTTIVO;SI;4;28;UMBRIA - MOLISE - CALVAIRATE;9.22000602458741;45.4472026662828;(45.4472026662828, 9.22000602458741)
161;A269;VIA MEDICI DEL VASCELLO GIACOMO snc;TERZIARIO;SI;4;33;ROGOREDO - SANTA GIULIA;9.23779151951855;45.4401517231764;(45.4401517231764, 9.23779151951855)
162;A395;VIA DELL'ASSUNTA 67;TERZIARIO;SI;5;36;SCALO ROMANA;9.21052915702353;45.4349786745772;(45.4349786745772, 9.21052915702353)
163;A387;VIA FLUMENDOSA 19;PRODUTTIVO;SI;2;19;PADOVA - TURRO - CRESCENZAGO;9.24524912646808;45.5051419885055;(45.5051419885055, 9.24524912646808)
164;A221;VIA SIGIERI GOFFREDO 24;PRODUTTIVO;SI;4;27;PTA ROMANA;9.21206791786543;45.4516827466811;(45.4516827466811, 9.21206791786543)
165;A195;VIA BONCOMPAGNI CARLO 61;PRODUTTIVO;SI;4;35;LODI - CORVETTO;9.23243636550981;45.4381240908031;(45.4381240908031, 9.23243636550981)
166;A236;VIA GAGGIA PIETRO 5;PARCHEGGI;SI;4;35;LODI - CORVETTO;9.23165032122652;45.4376536736538;(45.4376536736538, 9.23165032122652)
167;A245;VIA MALIPIERO GIANFRANCO snc;TERZIARIO;SI;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.24436646474507;45.4541187995197;(45.4541187995197, 9.24436646474507)
168;A311;VIA MORIVIONE 5;PRODUTTIVO;SI;5;37;MORIVIONE;9.194338084952;45.4406773925159;(45.4406773925159, 9.194338084952)
169;A416;VIA CONTE VERDE 10;RESIDENZIALE;SI;9;79;DERGANO;9.1794459291145;45.504097125224;(45.504097125224, 9.1794459291145)
170;A421;VLE UMBRIA 126;PRODUTTIVO;SI;4;26;XXII MARZO;9.21825817687543;45.4614490372593;(45.4614490372593, 9.21825817687543)
171;A405;VIA SENIGALLIA 6;RICETTIVO;SI;9;83;BRUZZANO;9.17006538407112;45.5328388135579;(45.5328388135579, 9.17006538407112)
172;A425;VIA CANNERO 7;PRODUTTIVO;SI;9;79;DERGANO;9.18074928103304;45.505434424816;(45.505434424816, 9.18074928103304)
173;A427;VIA ARDIGO' ROBERTO 13;PRODUTTIVO;SI;4;25;CORSICA;9.23659000568311;45.4631717732649;(45.4631717732649, 9.23659000568311)
174;A428;VIA ARDIGO' ROBERTO 17;RESIDENZIALE;SI;4;25;CORSICA;9.23667731729329;45.4635567148093;(45.4635567148093, 9.23667731729329)
179;A349;VIA ORIANI BARNABA 60;INDEFINITO/MISTO;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.13253975043099;45.5009731977376;(45.5009731977376, 9.13253975043099)
180;A124;VIA BONFADINI ROMUALDO 107;PRODUTTIVO;SI;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.24714291074278;45.4451268215402;(45.4451268215402, 9.24714291074278)
181;A115;CSO VENTIDUE MARZO 14;RICETTIVO;SI;4;26;XXII MARZO;9.21010642367032;45.4618960115668;(45.4618960115668, 9.21010642367032)
182;A227;VIA LATTANZIO 4;RESIDENZIALE;SI;4;28;UMBRIA - MOLISE - CALVAIRATE;9.21361056121722;45.4483562363809;(45.4483562363809, 9.21361056121722)
183;A255;VIA DEI PESTAGALLI 1-3-5;TERZIARIO;SI;4;33;ROGOREDO - SANTA GIULIA;9.23552154904987;45.4453962737304;(45.4453962737304, 9.23552154904987)
184;A271;VIA OGLIO 8;SERVIZI;SI;4;35;LODI - CORVETTO;9.2198567439699;45.4412500863501;(45.4412500863501, 9.2198567439699)
185;A121;VIA OROPA 4;PRODUTTIVO;SI;2;19;PADOVA - TURRO - CRESCENZAGO;9.2360667592835;45.49802275633;(45.49802275633, 9.2360667592835)
186;A127;VIA BISTOLFI LEONARDO 7;TERZIARIO;SI;3;23;LAMBRATE - ORTICA;9.24496695779789;45.4721174365735;(45.4721174365735, 9.24496695779789)
187;A128;VIA AMIDANI VINCENZO 15-17-19;TERZIARIO;SI;5;38;VIGENTINO - Q.RE FATIMA;9.19905508579524;45.4253605291911;(45.4253605291911, 9.19905508579524)
188;A393;VIA ASIAGO 72;PRODUTTIVO;SI;2;16;GORLA - PRECOTTO;9.23263518256129;45.5059458768044;(45.5059458768044, 9.23263518256129)
189;R130;VIA GNOCCHI VIANI OSVALDO 2;RESIDENZIALE;SI;6;50;PORTA GENOVA;9.15985464624206;45.4553811290941;(45.4553811290941, 9.15985464624206)
